Date_Time,Temp,Humidity,Weather,Precip_Prob,Current_time
2026-01-04 21:00:00,47.28,43,clear sky,0.0,2026-01-01 14:20:18.809404
2026-01-05 00:00:00,39.97,53,clear sky,0.0,2026-01-01 14:20:18.809404
2026-01-05 03:00:00,37.85,57,broken clouds,0.0,2026-01-01 14:20:18.809404
2026-01-05 06:00:00,36.82,60,overcast clouds,0.0,2026-01-01 14:20:18.809404
2026-01-05 09:00:00,36.5,68,overcast clouds,0.0,2026-01-01 14:20:18.809404
2026-01-05 12:00:00,33.73,74,overcast clouds,0.0,2026-01-01 14:20:18.809404
2026-01-05 15:00:00,40.44,56,scattered clouds,0.0,2026-01-01 14:20:18.809404
2026-01-05 18:00:00,48.65,43,few clouds,0.0,2026-01-01 14:20:18.809404
2026-01-05 21:00:00,50.59,46,clear sky,0.0,2026-01-01 14:20:18.809404
2026-01-06 00:00:00,43.5,59,clear sky,0.0,2026-01-01 14:20:18.809404
